TimeStamp,Open,High,Low,Close,PeriodVolume,OpenInterest
20140403,569.85,587.28,564.13,569.74,102030058,0
20140404,574.65,577.77,543.0,543.14,127903480,0
20140407,540.74,548.48,527.15,538.15,88032493,0
20140408,542.6,555.0,541.61,554.9,63221280,0
20140409,559.62,565.37,552.95,564.14,66677463,0
20140410,565.0,565.0,539.9,540.95,80776105,0
20140411,532.55,540.0,526.53,530.6,78538538,0
20140414,538.25,544.1,529.56,532.52,51501451,0
20140415,536.82,538.45,518.46,536.44,77160405,0
20140416,543.0,557.0,540.0,556.54,97865837,0
20140417,548.81,549.5,531.15,536.1,136281118,0
20140421,536.1,536.7,525.6,528.62,51364957,0
20140422,528.64,537.23,527.51,534.81,47318017,0
20140423,533.79,533.87,526.25,526.94,41133985,0
20140424,530.07,531.65,522.12,525.16,37742679,0
20140425,522.51,524.7,515.42,516.18,42060482,0
20140428,517.18,518.6,502.8,517.15,66711295,0
20140429,516.9,529.46,516.32,527.7,53997686,0
20140430,527.6,528.0,522.52,526.66,35034043,0
20140501,527.11,532.93,523.88,531.35,38113033,0
20140502,533.76,534.0,525.61,527.93,33793386,0
20140505,524.82,528.9,521.32,527.81,20484266,0
20140506,525.23,526.81,515.06,515.14,33780150,0
20140507,515.79,516.68,503.3,509.96,64498196,0
20140508,508.46,517.23,506.45,511.0,40433367,0
20140509,510.75,519.9,504.2,518.73,48789285,0
20140512,523.51,530.19,519.01,529.92,38272671,0
20140513,530.89,536.07,529.51,533.09,33068722,0
20140514,533.0,533.0,525.29,526.65,23902726,0
20140515,525.7,525.87,517.42,519.98,34168754,0
20140516,521.39,521.8,515.44,520.63,29715140,0
20140519,519.7,529.78,517.582,528.86,25597346,0
20140520,529.74,536.23,526.3,529.77,35700047,0
20140521,532.9,539.182,531.91,538.94,23933329,0
20140522,541.13,547.6,540.78,545.06,32325287,0
20140523,547.26,553.64,543.7,552.7,38698637,0
20140527,556.0,566.0,554.35,565.95,42121328,0
20140528,564.57,567.84,561.0,561.68,33044857,0
20140529,563.35,564.0,558.71,560.08,27087325,0
20140530,560.8,561.35,555.91,559.89,35432935,0
20140602,560.7,560.9,545.73,553.93,28778596,0
20140603,550.99,552.34,542.55,544.94,37340699,0
20140604,541.5,548.61,538.75,544.66,36341222,0
20140605,546.4,554.95,544.45,553.9,33790278,0
20140606,558.06,558.06,548.93,556.33,34747017,0
20140609,557.15,562.9,556.04,562.12,29353911,0
20140610,560.51,563.6,557.9,560.55,27062998,0
20140611,558.0,559.88,555.02,558.84,22007878,0
20140612,557.3,557.99,548.46,551.35,29222110,0
20140613,552.26,552.3,545.56,551.76,24410376,0
20140616,549.26,549.62,541.52,544.28,34174149,0
20140617,544.2,545.32,539.33,543.01,28996974,0
20140618,544.86,553.56,544.0,553.37,34842278,0
20140619,554.24,555.0,548.51,554.9,49161484,0
